"id","name","country","founded","industry","no_of_employees"
1,"laurence","denmark",1986,"sports",1560
2,"hundai","new york",1899,"vehicle",200
3,"Gill-Lamb","Cote d'Ivoire",2005,"Apparel / Fashion",5105
4,"Bauer-Weiss","United States of America",2015,"Dairy",9069
5,"Love-Palmer","Denmark",2010,"Management Consulting",6991
6,"Farmer, Edwards and Andrade","Norfolk Island",2003,"Mental Health Care",3503
7,"Bass, Hester and Mcclain","Uzbekistan",1994,"Computer Hardware",2762
8,"Strickland, Gray and Jensen","Israel",1987,"Performing Arts",7020
9,"Sparks, Decker and Powell","Israel",1977,"Marketing / Advertising / Sales",2709
10,"Osborn, Ford and Macdonald","Syrian Arab Republic",1990,"Investment Banking / Venture",5731
11,"Gonzales Inc","Angola",2019,"Capital Markets / Hedge Fund ",2252
12,"Ballard, Goodman and Boone","Iran",2019,"Logistics / Procurement",6165
13,"Bernard, Payne and Spencer","Afghanistan",1990,"Transportation",730
14,"Mcpherson-Blanchard","Bulgaria",1972,"Law Enforcement",9890
15,"Koch, Gomez and Hays","French Southern Territories",1997,"Financial Services",8497
16,"Meza, Ramirez and Braun","Timor-Leste",2012,"Public Relations / PR",5205
17,"Morales, Hinton and Gibbs","Serbia",2014,"Museums / Institutions",6706
18,"Abbott-Arroyo","Hungary",1994,"Architecture / Planning",117
19,"Trevino-Foley","Canada",1973,"Wine / Spirits",6765
20,"Bowman, Walters and Sawyer","Yemen",1988,"Think Tanks",5926
21,"Shepherd PLC","Jamaica",1972,"Newspapers / Journalism",5687
22,"Solis, Knapp and Nash","Marshall Islands",1978,"Aviation / Aerospace",9277
23,"Young, Buchanan and Vazquez","Greenland",2005,"Sports",8299
24,"Ford, Patel and Singleton","Iraq",2011,"Defense / Space",7245
25,"King Inc","French Southern Territories",2013,"Real Estate / Mortgage",7464
26,"Jacobs-Kline","Bhutan",1988,"Sporting Goods",2788
27,"Hardin, Walsh and Arias","Thailand",1980,"Graphic Design / Web Design",3738
28,"Mccann, Dominguez and Ray","Guadeloupe",2016,"Broadcast Media",8641
29,"Beltran Ltd","Uzbekistan",2016,"Media Production",2952
30,"Chaney-Kent","Hungary",1972,"Professional Training",1075
31,"Thomas PLC","Maldives",1972,"Telecommunications",2548
