"id","name","country","founded","industry","no_of_employees","website","description","e_mail"
1,"laurence","denmark",1986,"sports",1560,"0",NULL,"no email"
2,"hundai","new york",1899,"vehicle",200,"0",NULL,"no email"
3,"Gill-Lamb","Cote d'Ivoire",2005,"Apparel / Fashion",5105,"0",NULL,"no email"
4,"Bauer-Weiss","United States of America",2015,"Dairy",9069,"0",NULL,"no email"
5,"Love-Palmer","Denmark",2010,"Management Consulting",6991,"0",NULL,"no email"
6,"Farmer, Edwards and Andrade","Norfolk Island",2003,"Mental Health Care",3503,"0",NULL,"no email"
7,"Bass, Hester and Mcclain","Uzbekistan",1994,"Computer Hardware",2762,"0",NULL,"no email"
8,"Strickland, Gray and Jensen","Israel",1987,"Performing Arts",7020,"0",NULL,"no email"
9,"Sparks, Decker and Powell","Israel",1977,"Marketing / Advertising / Sales",2709,"0",NULL,"no email"
10,"Osborn, Ford and Macdonald","Syrian Arab Republic",1990,"Investment Banking / Venture",5731,"0",NULL,"no email"
11,"Gonzales Inc","Angola",2019,"Capital Markets / Hedge Fund ",2252,"0",NULL,"no email"
12,"Ballard, Goodman and Boone","Iran",2019,"Logistics / Procurement",6165,"0",NULL,"no email"
13,"Bernard, Payne and Spencer","Afghanistan",1990,"Transportation",730,"0",NULL,"no email"
14,"Mcpherson-Blanchard","Bulgaria",1972,"Law Enforcement",9890,"0",NULL,"no email"
15,"Koch, Gomez and Hays","French Southern Territories",1997,"Financial Services",8497,"0",NULL,"no email"
16,"Meza, Ramirez and Braun","Timor-Leste",2012,"Public Relations / PR",5205,"0",NULL,"no email"
17,"Morales, Hinton and Gibbs","Serbia",2014,"Museums / Institutions",6706,"0",NULL,"no email"
18,"Abbott-Arroyo","Hungary",1994,"Architecture / Planning",117,"0",NULL,"no email"
19,"Trevino-Foley","Canada",1973,"Wine / Spirits",6765,"0",NULL,"no email"
20,"Bowman, Walters and Sawyer","Yemen",1988,"Think Tanks",5926,"0",NULL,"no email"
21,"Shepherd PLC","Jamaica",1972,"Newspapers / Journalism",5687,"0",NULL,"no email"
22,"Solis, Knapp and Nash","Marshall Islands",1978,"Aviation / Aerospace",9277,"0",NULL,"no email"
23,"Young, Buchanan and Vazquez","Greenland",2005,"Sports",8299,"0",NULL,"no email"
25,"King Inc","French Southern Territories",2013,"Real Estate / Mortgage",7464,"0",NULL,"no email"
26,"Jacobs-Kline","Bhutan",1988,"Sporting Goods",2788,"0",NULL,"no email"
27,"Hardin, Walsh and Arias","Thailand",1980,"Graphic Design / Web Design",3738,"0",NULL,"no email"
28,"Mccann, Dominguez and Ray","Guadeloupe",2016,"Broadcast Media",8641,"0",NULL,"no email"
29,"Beltran Ltd","Uzbekistan",2016,"Media Production",2952,"0",NULL,"no email"
30,"Chaney-Kent","Hungary",1972,"Professional Training",1075,"0",NULL,"no email"
31,"Thomas PLC","Maldives",1972,"Telecommunications",2548,"0",NULL,"no email"
32,"Patton Inc","Seychelles",2002,"Venture Capital / VC",95,"0",NULL,"no email"
33,"Gay Inc","Myanmar",2019,"Luxury Goods / Jewelry",8106,"0",NULL,"no email"
34,"House-Perry","Maldives",1977,"Arts / Crafts",2938,"0",NULL,"no email"
35,"Cortez LLC","Antarctica (the territory South of 60 deg S)",1972,"Printing",9056,"0",NULL,"no email"
36,"Bridges-Carroll","Liechtenstein",1999,"Commercial Real Estate",8937,"0",NULL,"no email"
37,"Powers-Mack","Falkland Islands (Malvinas)",1983,"Sporting Goods",3985,"0",NULL,"no email"
38,"Baldwin, Warner and Russell","Jersey",1997,"Legal Services",7675,"0",NULL,"no email"
39,"Chase-Saunders","Palestinian Territory",1975,"Venture Capital / VC",9145,"0",NULL,"no email"
40,"Hood-Becker","Botswana",2004,"Human Resources / HR",1175,"0",NULL,"no email"
41,"Francis-Frazier","Christmas Island",2015,"Gambling / Casinos",6202,"0",NULL,"no email"
42,"Spence-Tran","United States of America",1996,"Package / Freight Delivery",7426,"0",NULL,"no email"
43,"Mcdowell-Dawson","Chad",1976,"Sporting Goods",2861,"0",NULL,"no email"
44,"Harrell LLC","Puerto Rico",2011,"Motion Pictures / Film",2726,"0",NULL,"no email"
45,"Mayer-Walter","Suriname",1997,"Civic / Social Organization",4595,"0",NULL,"no email"
46,"Cooley-Larson","Sri Lanka",1988,"Furniture",4171,"0",NULL,"no email"
47,"Henson Ltd","Heard Island and McDonald Islands",2010,"Photography",406,"0",NULL,"no email"
48,"Frye and Sons","Vietnam",2003,"Library",746,"0",NULL,"no email"
49,"Newton, Ferguson and Camacho","Namibia",2020,"Pharmaceuticals",8287,"0",NULL,"no email"
50,"Wall, Chandler and Chapman","Dominican Republic",1986,"Maritime",4604,"0",NULL,"no email"
51,"Leonard-Wilkinson","Chile",1995,"Wholesale",8952,"0",NULL,"no email"
52,"Walter and Sons","Nigeria",2014,"Information Technology / IT",440,"0",NULL,"no email"
53,"Pratt LLC","South Georgia and the South Sandwich Islands",1986,"Medical Equipment",5359,"0",NULL,"no email"
54,"Hebert-Santos","Cyprus",2004,"Gambling / Casinos",7982,"0",NULL,"no email"
55,"Hunt Ltd","Bahrain",1977,"Primary / Secondary Education",1693,"0",NULL,"no email"
56,"Gillespie, Hatfield and Mccarty","Indonesia",1982,"Education Management",5784,"0",NULL,"no email"
57,"Little Ltd","South Africa",2016,"Publishing Industry",7775,"0",NULL,"no email"
58,"Merritt-Mcgrath","Egypt",1988,"Maritime",6151,"0",NULL,"no email"
59,"Collier and Sons","Brazil",2020,"Transportation",9151,"0",NULL,"no email"
60,"Brooks LLC","Norway",2004,"Business Supplies / Equipment",58,"0",NULL,"no email"
61,"Werner, Berry and Dominguez","Botswana",2014,"Textiles",9676,"0",NULL,"no email"
62,"Stanton, Graves and Ibarra","Grenada",2000,"Professional Training",9431,"0",NULL,"no email"
63,"Aguirre Ltd","Nigeria",2020,"Public Safety",4941,"0",NULL,"no email"
64,"Romero-Aguirre","Bahamas",2006,"Think Tanks",142,"0",NULL,"no email"
65,"Caldwell Inc","Morocco",2008,"Library",1729,"0",NULL,"no email"
66,"Blevins, Love and Banks","Samoa",1977,"Renewables / Environment",1891,"0",NULL,"no email"
67,"Scott-Ramsey","Czech Republic",2018,"Design",8263,"0",NULL,"no email"
68,"Kennedy and Sons","Peru",1994,"Food Production",3296,"0",NULL,"no email"
69,"David and Sons","Serbia",2018,"Events Services",4660,"0",NULL,"no email"
70,"Graves Inc","Dominican Republic",1986,"Staffing / Recruiting",8802,"0",NULL,"no email"
71,"Mccann-Mcguire","Lesotho",1970,"Legal Services",5800,"0",NULL,"no email"
72,"Mclean-Mccarty","Qatar",1978,"Transportation",7610,"0",NULL,"no email"
73,"Sims, Arroyo and Brennan","Lithuania",1998,"Textiles",4963,"0",NULL,"no email"
74,"Taylor LLC","Central African Republic",1997,"Chemicals",8904,"0",NULL,"no email"
75,"Young LLC","Iran",1970,"Political Organization",5683,"0",NULL,"no email"
76,"Holden-Wolf","American Samoa",1996,"Utilities",5416,"0",NULL,"no email"
77,"Paul Ltd","Holy See (Vatican City State)",1993,"Media Production",4929,"0",NULL,"no email"
78,"Hinton Inc","Iran",2003,"Retail Industry",2658,"0",NULL,"no email"
79,"Stone Inc","Cote d'Ivoire",1984,"Alternative Medicine",816,"0",NULL,"no email"
80,"Hart, Williamson and Klein","Suriname",1970,"Management Consulting",4989,"0",NULL,"no email"
81,"Donaldson-Romero","Turkmenistan",2002,"Library",3232,"0",NULL,"no email"
82,"Joyce, Turner and Bolton","Bhutan",1975,"Online Publishing",6016,"0",NULL,"no email"
83,"Little Ltd","Mozambique",1989,"Farming",381,"0",NULL,"no email"
84,"Mercado Ltd","Lebanon",1971,"Consumer Electronics",4759,"0",NULL,"no email"
85,"Morrow-Lawson","Antigua and Barbuda",2009,"Food / Beverages",3925,"0",NULL,"no email"
86,"Compton LLC","Tonga",1997,"Industrial Automation",2011,"0",NULL,"no email"
